parallelism,throughput_rps,avg_latency_ms
1,0.0332,141504.86805555556
2,0.0582875,105711.03126250001
3,0.08005714285714285,140215.2113142857
4,0.06357499999999999,80509.50782500001
5,0.09466,104891.39499999999
6,0.10247777777777778,88286.9977
7,0.13928333333333334,107684.03869999999
8,0.13470000000000001,102142.98295454546
9,0.14796666666666666,57340.92591666667
10,0.20898571428571427,150454.06205714284
11,0.19451428571428572,91792.59942857143
12,0.22003333333333333,57720.375
13,0.23220000000000002,101734.898725
14,0.208425,69655.022325
15,0.31043333333333334,195040.27083333334
16,0.20356666666666667,78601.96486666666
17,0.3200625,165427.6663625
