experiment_id,parallelism,batch_size,target_rate,total_requests,success_requests,success_rate_pct,throughput_rps,avg_latency_ms,avg_wait_ms,avg_inference_ms,processing_time_sec,actual_batches,avg_batch_size,load_balance_pct,resource_utilization_pct
p17b2_136req,17,2,2.0,136,136,100.0,0.2866,101133.0662,985.8897,100147.1765,474.47,68,2.0,100.0,0.6744
p17b4_272req,17,4,4.0,272,272,100.0,0.3063,188877.5919,1522.2978,187355.2941,888.063,68,4.0,100.0,0.9008
p17b4_272req,17,4,0.5,272,272,100.0,0.3412,194112.9743,14651.7243,179461.25,797.245,68,4.0,100.0,1.0035
p17b8_544req,17,8,0.5,544,544,100.0,0.4783,317817.6305,39589.9393,278227.6912,1137.45,68,8.0,100.0,1.9693
p17b8_544req,17,8,0.5,544,544,100.0,0.457,322203.0974,42594.0092,279609.0882,1190.264,68,8.0,100.0,1.8819
p1b1_4req,1,1,4.0,4,4,100.0,0.045,59543.75,0.0,59543.75,88.804,4,1.0,100.0,1.5765
p1b1_4req,1,1,5.0,4,4,100.0,0.0277,73319.25,0.0,73319.25,144.5,4,1.0,100.0,0.9689
p1b1_2req,1,1,0.6667,2,2,100.0,0.0283,90120.0,0.0,90120.0,70.735,2,1.0,100.0,0.9896
p1b1_2req,1,1,0.5,2,2,100.0,0.0301,63169.5,0.0,63169.5,66.43,2,1.0,100.0,1.0537
p1b2_8req,1,2,5.0,8,8,100.0,0.0306,107374.75,0.0,107374.75,261.474,4,2.0,100.0,1.2238
p1b4_16req,1,4,4.0,16,16,100.0,0.0367,141332.6875,0.1875,141332.5,435.477,4,4.0,100.0,1.8371
p1b4_16req,1,4,5.0,16,16,100.0,0.0238,235680.9375,0.1875,235680.75,672.019,4,4.0,100.0,1.1904
p1b4_16req,1,4,4.0,16,16,100.0,0.032,155345.75,0.0,155345.75,500.148,4,4.0,100.0,1.5995
p1b8_16req,1,8,2.0,16,16,100.0,0.0446,347657.1875,205.6875,347451.5,358.662,2,8.0,100.0,3.1227
p2b1_8req,2,1,0.5,8,8,100.0,0.061,43339.375,0.0,43339.375,131.165,8,1.0,100.0,1.0674
p2b1_4req,2,1,0.6667,4,4,100.0,0.1022,60837.5,0.0,60837.5,39.12,4,1.0,100.0,1.7894
p2b1_4req,2,1,0.5,4,4,100.0,0.0678,62358.5,0.0,62358.5,59.017,4,1.0,100.0,1.1861
p2b2_16req,2,2,4.0,16,16,100.0,0.056,80873.5,0.0,80873.5,285.771,8,2.0,100.0,1.1198
p2b2_16req,2,2,5.0,16,16,100.0,0.0318,133578.8125,0.0625,133578.75,503.16,8,2.0,100.0,0.636
p2b2_16req,2,2,2.5,16,16,100.0,0.037,132909.25,0.0,132909.25,432.346,8,2.0,100.0,0.7401
p2b4_32req,2,4,1.0,32,32,100.0,0.0436,201537.6563,566.5313,200971.125,734.014,8,4.0,100.0,1.0899
p2b4_32req,2,4,0.5,32,32,100.0,0.0669,130253.6563,1377.4063,128876.25,478.512,8,4.0,100.0,1.6718
p3b1_6req,3,1,2.0,6,6,100.0,0.1071,60363.1667,0.0,60363.1667,56.038,6,1.0,100.0,1.2492
p3b1_6req,3,1,0.6667,6,6,100.0,0.052,68009.3333,0.0,68009.3333,115.318,6,1.0,100.0,0.607
p3b1_6req,3,1,1.0,6,6,100.0,0.0801,56850.1667,0.0,56850.1667,74.885,6,1.0,100.0,0.9348
p3b1_6req,3,1,1.0,6,6,100.0,0.0756,60059.0,0.0,60059.0,79.391,6,1.0,100.0,0.8817
p3b2_24req,3,2,0.5,24,24,100.0,0.0609,103670.875,586.0417,103084.8333,394.171,12,2.0,100.0,0.8118
p3b8_96req,3,8,5.0,96,96,100.0,0.0923,331300.6667,280.25,331020.4167,1040.412,12,8.0,100.0,2.153
p3b8_96req,3,8,2.5,96,96,100.0,0.0924,301253.2708,919.6042,300333.6667,1039.187,12,8.0,100.0,2.1555
p4b1_8req,4,1,2.0,8,8,100.0,0.0807,53987.875,0.0,53987.875,99.157,8,1.0,100.0,0.706
p4b1_8req,4,1,0.5,8,8,100.0,0.0608,67247.125,0.0,67247.125,131.616,8,1.0,100.0,0.5319
p4b1_8req,4,1,1.0,8,8,100.0,0.0497,84383.25,0.0,84383.25,160.817,8,1.0,100.0,0.4353
p4b2_32req,4,2,2.0,32,32,100.0,0.0631,116419.7813,16.6563,116403.125,507.288,16,2.0,100.0,0.6308
p5b1_10req,5,1,0.5,10,10,100.0,0.0901,58921.1,0.0,58921.1,110.961,10,1.0,100.0,0.6309
p5b1_10req,5,1,0.5,10,10,100.0,0.1454,53216.4,0.0,53216.4,68.786,10,1.0,100.0,1.0176
p5b2_40req,5,2,4.0,40,40,100.0,0.0786,102102.925,0.075,102102.85,508.836,20,2.0,100.0,0.6289
p5b2_40req,5,2,2.0,40,40,100.0,0.0701,119958.525,76.875,119881.65,570.894,20,2.0,100.0,0.5605
p5b4_80req,5,4,4.0,80,80,100.0,0.0891,190258.025,224.875,190033.15,897.856,20,4.0,100.0,0.891
p6b1_24req,6,1,4.0,24,24,100.0,0.1206,56946.9167,0.0,56946.9167,199.086,24,1.0,100.0,0.7032
p6b1_24req,6,1,2.5,24,24,100.0,0.1109,50281.4167,0.0,50281.4167,216.464,24,1.0,100.0,0.6468
p6b1_12req,6,1,1.0,12,12,100.0,0.0938,64864.5,0.0,64864.5,127.931,12,1.0,100.0,0.5472
p6b1_12req,6,1,0.6667,12,12,100.0,0.0875,62904.0833,0.0,62904.0833,137.17,12,1.0,100.0,0.5103
p6b1_12req,6,1,1.0,12,12,100.0,0.0665,65061.4167,0.0,65061.4167,180.516,12,1.0,100.0,0.3878
p6b1_12req,6,1,0.6667,12,12,100.0,0.1105,69695.4167,0.0,69695.4167,108.569,12,1.0,100.0,0.6448
p6b2_48req,6,2,2.0,48,48,100.0,0.1027,114250.875,153.75,114097.125,467.594,24,2.0,100.0,0.6844
p6b2_48req,6,2,5.0,48,48,100.0,0.1099,122608.75,0.0417,122608.7083,436.94,24,2.0,100.0,0.7324
p6b4_96req,6,4,4.0,96,96,100.0,0.1199,187969.6042,360.1875,187609.4167,800.781,24,4.0,100.0,0.999
p7b1_14req,7,1,2.0,14,14,100.0,0.2093,49464.7857,0.0,49464.7857,66.877,14,1.0,100.0,1.0467
p7b1_14req,7,1,0.5,14,14,100.0,0.1063,65850.2143,0.0,65850.2143,131.734,14,1.0,100.0,0.5314
