response_id,request_id,batch_size,wait_time_ms,process_time_ms,total_latency_ms,success,timestamp
1,req_000,3,400,781,1181,true,1754902490566
2,req_001,3,200,876,1076,true,1754902491848
3,req_002,3,0,869,869,true,1754902492920
4,req_003,3,400,1420,1820,true,1754902494944
5,req_004,3,200,750,950,true,1754902496098
6,req_005,3,0,1070,1070,true,1754902497376
7,req_006,3,400,628,1028,true,1754902498608
8,req_007,3,200,1439,1639,true,1754902500451
9,req_008,3,0,590,590,true,1754902501245
10,req_009,3,400,782,1182,true,1754902502631
11,req_010,3,200,883,1083,true,1754902503919
12,req_011,3,0,509,509,true,1754902504631
13,req_012,3,400,998,1398,true,1754902506232
14,req_013,3,200,1292,1492,true,1754902507928
15,req_014,3,0,1267,1267,true,1754902509398
16,req_015,3,400,1122,1522,true,1754902511127
17,req_016,3,200,997,1197,true,1754902512527
18,req_017,3,0,1082,1082,true,1754902513811
19,req_018,3,400,1018,1418,true,1754902515432
20,req_019,3,200,575,775,true,1754902516410
21,req_020,3,0,500,500,true,1754902517114
22,req_021,3,400,669,1069,true,1754902518386
23,req_022,3,200,1305,1505,true,1754902520094
24,req_023,3,0,727,727,true,1754902521024
25,req_024,3,400,864,1264,true,1754902522491
26,req_025,3,200,1428,1628,true,1754902524331
27,req_026,3,0,954,954,true,1754902525490
28,req_027,3,400,676,1076,true,1754902526771
