response_id,request_id,batch_size,wait_time_ms,process_time_ms,total_latency_ms,success,timestamp
1,req_000,4,600,1232,1832,true,1754902593364
2,req_001,4,400,616,1016,true,1754902594585
3,req_002,4,200,1343,1543,true,1754902596332
4,req_003,4,0,871,871,true,1754902597406
5,req_004,4,600,788,1388,true,1754902598998
6,req_005,4,400,621,1021,true,1754902600228
7,req_006,4,200,1428,1628,true,1754902602060
8,req_007,4,0,719,719,true,1754902602984
9,req_008,4,600,609,1209,true,1754902604397
10,req_009,4,400,1480,1880,true,1754902606480
11,req_010,4,200,757,957,true,1754902607642
12,req_011,4,0,1260,1260,true,1754902609106
13,req_012,4,600,1229,1829,true,1754902611139
14,req_013,4,400,1524,1924,true,1754902613267
15,req_014,4,200,1070,1270,true,1754902614741
16,req_015,4,0,834,834,true,1754902615781
17,req_016,4,600,620,1220,true,1754902617204
18,req_017,4,400,1379,1779,true,1754902619186
19,req_018,4,200,1249,1449,true,1754902620839
20,req_019,4,0,574,574,true,1754902621617
21,req_020,4,600,896,1496,true,1754902623317
22,req_021,4,400,1159,1559,true,1754902625079
23,req_022,4,200,576,776,true,1754902626059
24,req_023,4,0,1422,1422,true,1754902627685
25,req_024,4,600,821,1421,true,1754902629310
26,req_025,4,400,1132,1532,true,1754902631057
27,req_026,4,200,1196,1396,true,1754902632659
28,req_027,4,0,1217,1217,true,1754902634081
29,req_028,4,600,1273,1873,true,1754902636159
30,req_029,4,400,864,1264,true,1754902637629
