response_id,request_id,batch_size,wait_time_ms,process_time_ms,total_latency_ms,success,timestamp
1,req_000,8,1400,2139,3539,true,1754902678248
2,req_001,8,1200,1395,2595,true,1754902681050
3,req_002,8,1000,1147,2147,true,1754902683400
4,req_003,8,800,547,1347,true,1754902684951
5,req_004,8,600,969,1569,true,1754902686725
6,req_005,8,400,1417,1817,true,1754902688751
7,req_006,8,200,1342,1542,true,1754902690497
8,req_007,8,0,1005,1005,true,1754902691706
9,req_008,8,1400,874,2274,true,1754902694183
10,req_009,8,1200,1302,2502,true,1754902696889
11,req_010,8,1000,1382,2382,true,1754902699477
12,req_011,8,800,687,1487,true,1754902701168
13,req_012,8,600,1170,1770,true,1754902703141
14,req_013,8,400,1131,1531,true,1754902704876
15,req_014,8,200,931,1131,true,1754902706210
16,req_015,8,0,874,874,true,1754902707289
17,req_016,8,1400,1043,2443,true,1754902709936
18,req_017,8,1200,730,1930,true,1754902712069
19,req_018,8,1000,774,1774,true,1754902714046
20,req_019,8,800,853,1653,true,1754902715902
21,req_020,8,600,569,1169,true,1754902717275
22,req_021,8,400,1266,1666,true,1754902719144
23,req_022,8,200,948,1148,true,1754902720496
24,req_023,8,0,1127,1127,true,1754902721826
25,req_024,8,1400,1268,2668,true,1754902724697
26,req_025,8,1200,1102,2302,true,1754902727211
