experiment_id,parallelism,batch_size,target_rate,total_requests,success_requests,success_rate_pct,throughput_rps,avg_latency_ms,avg_wait_ms,avg_inference_ms,processing_time_sec,actual_batches,avg_batch_size,load_balance_pct,resource_utilization_pct
p2b1_8req,2,1,10.0000,8,8,100.0000,0.2618,18253.8750,0.0000,18253.8750,30.5530,8,1.0000,100.0000,4.5822
p2b1_8req,2,1,5.0000,8,8,100.0000,0.2423,18870.2500,0.0000,18870.2500,33.0150,8,1.0000,100.0000,4.2405
p2b1_8req,2,1,2.0000,8,8,100.0000,0.2038,19572.7500,0.0000,19572.7500,39.2490,8,1.0000,100.0000,3.5670
