experiment_id,parallelism,batch_size,target_rate,total_requests,success_requests,success_rate_pct,throughput_rps,avg_latency_ms,avg_wait_ms,avg_inference_ms,processing_time_sec,actual_batches,avg_batch_size,load_balance_pct,resource_utilization_pct
p10b1_40req,10,1,10.0,40,40,100.0,0.8411,18953.225,0.0,18953.225,47.556,40,1.0,100.0,2.9439
p10b1_40req,10,1,5.0,40,40,100.0,0.9048,19114.5,0.0,19114.5,44.211,40,1.0,100.0,3.1666
p10b2_80req,10,2,10.0,80,80,100.0,0.9051,14952.6875,500.5375,14452.15,88.392,40,2.0,100.0,3.6202
p10b2_80req,10,2,5.0,80,80,100.0,1.0921,15068.45,1001.3,14067.15,73.252,40,2.0,100.0,4.3685
p10b4_160req,10,4,10.0,160,160,100.0,1.0704,14311.8313,1501.5813,12810.25,149.47,40,4.0,100.0,5.3522
p10b4_160req,10,4,5.0,160,160,100.0,1.0529,15714.825,3002.375,12712.45,151.957,40,4.0,100.0,5.2646
p10b8_320req,10,8,5.0,320,320,100.0,1.1397,18001.6531,7005.1031,10996.55,280.766,40,8.0,100.0,7.9782
p11b1_44req,11,1,1.0,44,44,100.0,1.0885,18612.0682,0.0,18612.0682,40.422,44,1.0,100.0,3.4635
p11b2_88req,11,2,2.5,88,88,100.0,1.0519,16682.7045,2201.1591,14481.5455,83.662,44,2.0,100.0,3.8249
p12b1_48req,12,1,10.0,48,48,100.0,1.0194,19081.5417,0.0,19081.5417,47.086,48,1.0,100.0,2.9733
p12b1_48req,12,1,5.0,48,48,100.0,1.2585,18536.7708,0.0,18536.7708,38.14,48,1.0,100.0,3.6707
p12b2_96req,12,2,10.0,96,96,100.0,1.0941,15034.4167,600.6042,14433.8125,87.747,48,2.0,100.0,3.6468
p12b2_96req,12,2,5.0,96,96,100.0,1.1718,15772.3646,1201.1146,14571.25,81.924,48,2.0,100.0,3.9061
p12b4_192req,12,4,10.0,192,192,100.0,1.2261,14123.7135,1801.9635,12321.75,156.595,48,4.0,100.0,5.1087
p12b4_192req,12,4,5.0,192,192,100.0,1.215,15797.625,3603.6042,12194.0208,158.021,48,4.0,100.0,5.0626
p12b8_384req,12,8,5.0,384,384,100.0,1.3723,19203.5182,8407.0391,10796.4792,279.814,48,8.0,100.0,8.0053
p13b1_52req,13,1,1.0,52,52,100.0,1.1484,17905.5577,0.0,17905.5577,45.28,52,1.0,100.0,3.0919
p13b1_52req,13,1,4.0,52,52,100.0,1.1027,18752.0962,0.0,18752.0962,47.155,52,1.0,100.0,2.9689
p13b2_104req,13,2,0.5,104,104,100.0,0.6035,23393.5577,13001.1923,10392.3654,172.318,52,2.0,100.0,1.857
p13b8_416req,13,8,2.0,416,416,100.0,1.3658,33123.8894,22756.524,10367.3654,304.577,52,8.0,100.0,7.3545
p13b8_416req,13,8,2.5,416,416,100.0,1.452,28339.4784,18205.7284,10133.75,286.497,52,8.0,100.0,7.8186
p14b1_56req,14,1,10.0,56,56,100.0,1.1665,18807.8571,0.0,18807.8571,48.008,56,1.0,100.0,2.9162
p14b1_56req,14,1,5.0,56,56,100.0,1.2164,18642.5536,0.0,18642.5536,46.038,56,1.0,100.0,3.041
p14b2_112req,14,2,10.0,112,112,100.0,1.2652,15558.7321,700.6964,14858.0357,88.523,56,2.0,100.0,3.6149
p14b2_112req,14,2,5.0,112,112,100.0,1.1916,16197.8214,1401.7143,14796.1071,93.989,56,2.0,100.0,3.4047
p14b4_224req,14,4,10.0,224,224,100.0,1.4841,14016.6696,2112.7589,11903.9107,150.932,56,4.0,100.0,5.3004
p14b4_224req,14,4,5.0,224,224,100.0,1.3972,16301.2991,4203.1384,12098.1607,160.322,56,4.0,100.0,4.99
p14b8_448req,14,8,5.0,448,448,100.0,1.4882,20502.0848,9806.9598,10695.125,301.044,56,8.0,100.0,7.4408
p15b4_240req,15,4,4.0,240,240,100.0,1.5565,17915.6833,5628.2167,12287.4667,154.194,60,4.0,100.0,5.1883
p15b4_240req,15,4,2.5,240,240,100.0,1.6425,20614.1917,9003.675,11610.5167,146.121,60,4.0,100.0,5.4749
p16b1_64req,16,1,10.0,64,64,100.0,1.4283,18806.5313,0.0,18806.5313,44.809,64,1.0,100.0,3.1244
p16b1_64req,16,1,5.0,64,64,100.0,1.3685,19266.8594,0.0,19266.8594,46.768,64,1.0,100.0,2.9935
p16b1_64req,16,1,4.0,64,64,100.0,1.4042,18638.7031,0.0,18638.7031,45.576,64,1.0,100.0,3.0718
p16b2_128req,16,2,10.0,128,128,100.0,1.4416,15673.6094,800.8594,14872.75,88.788,64,2.0,100.0,3.6041
p16b2_128req,16,2,5.0,128,128,100.0,1.4767,15881.9922,1601.6172,14280.375,86.677,64,2.0,100.0,3.6919
p16b4_256req,16,4,10.0,256,256,100.0,1.5881,14581.793,2402.8711,12178.9219,161.201,64,4.0,100.0,4.9627
p16b4_256req,16,4,5.0,256,256,100.0,1.6549,16694.875,4804.3594,11890.5156,154.692,64,4.0,100.0,5.1716
p16b8_512req,16,8,5.0,512,512,100.0,1.7808,21871.0645,11207.7988,10663.2656,287.517,64,8.0,100.0,7.7908
p18b1_72req,18,1,10.0,72,72,100.0,1.5405,19252.9306,0.0,19252.9306,46.738,72,1.0,100.0,2.9954
p18b1_72req,18,1,5.0,72,72,100.0,1.5602,18781.1667,0.0,18781.1667,46.147,72,1.0,100.0,3.0338
p18b2_144req,18,2,10.0,144,144,100.0,1.607,15940.0347,901.0208,15039.0139,89.609,72,2.0,100.0,3.5711
p18b2_144req,18,2,5.0,144,144,100.0,1.5158,15963.0972,1803.6944,14159.4028,95.001,72,2.0,100.0,3.3684
p18b2_144req,18,2,2.5,144,144,100.0,1.6617,17301.3472,3601.0694,13700.2778,86.656,72,2.0,100.0,3.6928
p18b4_288req,18,4,10.0,288,288,100.0,1.9408,14985.2778,2716.6806,12268.5972,148.393,72,4.0,100.0,5.3911
p18b4_288req,18,4,5.0,288,288,100.0,1.9148,17228.4722,5404.7222,11823.75,150.406,72,4.0,100.0,5.3189
p19b4_304req,19,4,5.0,304,304,100.0,1.8276,17683.1579,5704.4605,11978.6974,166.334,76,4.0,100.0,4.8096
p1b1_4req,1,1,10.0,4,4,100.0,0.1254,19687.5,0.0,19687.5,31.888,4,1.0,100.0,4.3904
p1b1_4req,1,1,5.0,4,4,100.0,0.1421,18453.25,0.0,18453.25,28.15,4,1.0,100.0,4.9734
p1b1_4req,1,1,2.0,4,4,100.0,0.1372,19201.25,0.0,19201.25,29.163,4,1.0,100.0,4.8006
p1b1_4req,1,1,2.5,4,4,100.0,0.1373,19288.25,0.0,19288.25,29.13,4,1.0,100.0,4.806
p1b2_8req,1,2,10.0,8,8,100.0,0.1302,14331.5,50.25,14281.25,61.459,4,2.0,100.0,5.2067
p1b2_8req,1,2,5.0,8,8,100.0,0.1499,13649.0,100.25,13548.75,53.383,4,2.0,100.0,5.9944
